time,expected_power,avg_loss_percent,health_score,vision_label,dust_detected
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
2026-01-21 04:45:11,433.41,20.0,80.0,BirdDroppings,False
